cntry;essround;idno;pspwght;pweight;polintr;happy;gndr;yrbrn;agea;chldhm;edulvla;eisced;eduyrs;pdwrk;edctn;wkhtot;isco08;uemp3m;hinctnta
CH;8;116;0.959825993;0.464939934;2;10;2;1947;69;2;3;3;11;0;0;42;5223;2;2
CH;8;123;0.899520457;0.464939934;2;8;1;1982;34;2;4;5;16;1;0;48;7413;2;3
CH;8;127;0.759676516;0.464939934;1;7;1;1961;55;2;2;2;9;1;0;80;3255;2;7
CH;8;128;0.890090764;0.464939934;2;2;1;1960;56;2;3;3;9;1;0;42;3214;2;6
CH;8;129;1.140466452;0.464939934;2;8;2;1981;35;2;5;7;19;1;0;60;2211;2;8
CH;8;131;1.090924263;0.464939934;1;8;2;1931;85;2;3;3;8;0;0;43;3221;2;1
CH;8;134;1.090924263;0.464939934;1;9;2;1936;80;2;3;4;14;0;0;42;2342;2;4
CH;8;135;1.17324388;0.464939934;1;10;1;1976;40;1;2;2;12;1;0;20;7133;2;10
CH;8;138;0.924070776;0.464939934;4;8;2;1930;86;2;1;1;3;0;0;888;9000;2;77
CH;8;140;0.759676516;0.464939934;2;8;1;1949;67;2;3;3;9;1;0;20;5165;2;5
CH;8;145;1.102796197;0.464939934;4;8;2;1934;82;2;3;3;9;0;0;45;4120;2;4
CH;8;146;1.090924263;0.464939934;3;8;2;1946;70;2;3;3;9;0;0;26;5223;2;2
CH;8;148;0.959825993;0.464939934;2;8;2;1926;90;2;3;4;12;0;0;888;2330;2;1
CH;8;151;1.102796197;0.464939934;3;10;2;1948;68;2;2;2;0;0;0;20;5131;2;4
CH;8;153;0.890090764;0.464939934;2;8;1;1938;78;2;3;3;8;0;0;52;3120;2;4
CH;8;154;1.090924263;0.464939934;2;6;2;1945;71;2;2;2;10;0;0;22;4120;1;6
CH;8;157;0.924070776;0.464939934;2;7;2;1939;77;2;3;3;9;0;0;888;4120;1;2
CH;8;159;1.160116434;0.464939934;3;9;2;1985;31;2;5;7;19;1;0;50;2210;2;7
CH;8;161;1.140466452;0.464939934;1;9;2;1962;54;2;3;3;9;1;0;42;4110;2;5
CH;8;168;1.17324388;0.464939934;1;8;1;1965;51;2;3;4;14;1;0;45;8141;2;77
CH;8;171;0.959825993;0.464939934;2;8;2;1943;73;2;2;2;8;0;0;44;7311;2;2
CH;8;176;1.17324388;0.464939934;2;8;1;1976;41;2;5;5;9;1;0;42;2642;1;4
CH;8;177;1.022381425;0.464939934;3;9;1;1988;28;2;5;6;16;1;0;46;2141;2;8
